time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.112,-0.85808,2.66959,9.60235
0.156,-0.81722,2.60149,9.60235
0.180,-0.73550,2.49252,9.90199
0.240,-0.68102,2.49252,9.64321
0.301,-0.64016,2.47890,9.77941
0.361,-0.66740,2.50614,9.87475
0.462,-0.61292,2.38356,9.76579
0.479,-0.77636,2.43804,9.77941
0.548,-0.77636,2.47890,9.82027
0.603,-0.49033,2.31546,9.77941
0.662,-0.57205,2.27460,9.83389
0.721,-0.59930,2.23374,9.95647
0.782,-0.80360,2.24736,9.90199
0.848,-1.55272,2.54700,9.57510
0.901,-1.77065,2.62873,9.61597
0.977,-2.41080,2.66959,9.13925
1.022,-2.72407,2.69683,9.05753
1.115,-3.92266,2.84665,8.86685
1.142,-4.41299,2.84665,8.68978
1.202,-4.94419,2.49252,8.36289
1.265,-5.28470,2.60149,8.33565
1.322,-5.42090,2.56063,8.09049
1.402,-5.70693,2.51976,8.13135
1.442,-5.84313,2.49252,8.14497
1.545,-6.06105,2.36994,7.81808
1.562,-6.18364,2.45166,7.58653
1.623,-6.46967,2.35632,7.45033
1.682,-6.57863,2.41080,7.40947
1.745,-6.74207,2.36994,7.12344
1.928,-6.76931,2.34270,7.08258
1.937,-6.93276,2.45166,6.86466
1.959,-7.13706,2.39718,6.90552
1.983,-7.15068,2.41080,6.78293
2.044,-7.24603,2.36994,6.71483
2.111,-7.35499,2.35632,6.51053
2.164,-7.40947,2.39718,6.38794
2.233,-7.43671,2.35632,6.37432
2.284,-7.32775,2.36994,6.57863
2.438,-7.24603,2.38356,6.70121
2.439,-6.78293,2.64235,6.74207
2.464,-6.29260,2.64235,7.00086
2.524,-5.09401,2.54700,8.10411
2.584,-4.18145,2.47890,8.45824
2.654,-1.96133,2.99648,10.10630
2.705,-1.22583,3.15992,9.56148
2.805,-1.15773,3.21440,9.60235
2.826,-1.08963,2.86027,9.50700
2.886,-0.64016,2.88751,9.57510
2.946,-0.44947,2.73769,9.67045
3.006,-0.08172,2.58787,9.67045
3.074,0.19068,2.47890,9.46614
3.129,0.08172,2.45166,9.73855
3.261,0.12258,2.27460,9.45252
3.261,0.44947,2.01581,9.86113
3.335,0.32689,1.98857,9.67045
3.369,0.31327,2.02943,9.61597
3.428,0.36775,1.96133,9.73855
3.488,0.38137,1.98857,9.73855
3.550,0.35413,1.96133,9.80665
3.631,0.32689,1.87961,9.73855
3.669,0.40861,2.24736,9.60235
3.768,0.40861,2.11115,9.67045
